	predicted_rank	predicted_CMS
H-9	0.916507	1.009097775
H-21	0.916507	1.009097775
H-16	0.00152	0.001673559
H-27	0	0
H-3	-0.414275	-0.456127428
H-10	-0.42514	-0.468090073
H-22	0.916507	1.009097775
H-8	-0.42514	-0.468090073
H-17	-0.42514	-0.468090073
H-24	-0.42514	-0.468090073
H-6	-0.414275	-0.456127428
H-18	-0.426171	-0.46922523
H-5	-0.42514	-0.468090073
H-4	-0.42514	-0.468090073
H-26	0	0
H-20	0.916507	1.009097775
H-11	0	0
H-2	0.026689	0.029385275
H-23	0.916507	1.009097775
H-12	0	0
H-14	-0.42514	-0.468090073
H-1	-0.42514	-0.468090073
H-19	-0.42514	-0.468090073
H-25	-0.41521	-0.457156887
H-7	0.916507	1.009097775
H-15	0.00152	0.001673559
