	predicted_rank	predicted_protein
H_9_FKDN240279193-1A_22CNTVLT4_L7	2.1049474999999997	60.581973982449774
H_21_FKDN240279204-1A_22CNTVLT4_L8	0.0	55.7
H_16_FKDN240279199-1A_22CNTVLT4_L8	0.0	55.7
H_27_FKDN240279210-1A_22FJ_concatenated	2.1049474999999997	60.581973982449774
H_3_FKDN240279187-1A_22CNTVLT4_L7	0.0	55.7
H_10_FKDN240279194-1A_22CNTVLT4_L8	1.603066	59.41796755223103
H_22_FKDN240279205-1A_22CNTVLT4_L8	1.2418255	58.58014773847931
H_8_FKDN240279192-1A_22CNTVLT4_L7	1.7272509999999999	59.70598800832817
H_17_FKDN240279200-1A_22CNTVLT4_L8	0.863122	57.701826243970466
H_24_FKDN240279207-1A_22FKLWLT4_L4	4.8642351	66.98154939860447
H_6_FKDN240279190-1A_22CNTVLT4_L7	0.0	55.7
H_18_FKDN240279201-1A_22CNTVLT4_L8	0.863122	57.701826243970466
H_5_FKDN240279189-1A_22CNTVLT4_L7	0.863122	57.701826243970466
H_4_FKDN240279188-1A_22CNTVLT4_L7	0.0	55.7
H_26_FKDN240279209-1A_22FKLWLT4_L4	2.2517039999999997	60.92234418871639
H_20_FKDN240279203-1A_22CNTVLT4_L8	1.2418255	58.58014773847931
H_11_FKDN240279195-1A_22CNTVLT4_L8	2.6294005	61.798330162838
H_2_FKDN240279186-1A_22CNTVLT4_L7	0.0	55.7
H_23_FKDN240279206-1A_22FJ_concatenated	1.9120279999999998	60.13453860474691
H_12_FKDN240279196-1A_22CNTVLT4_L8	2.9690765	62.586135746807486
H_14_FKDN240279197-1A_22CNTVLT4_L8	0.0	55.7
H_1_FKDN240279185-1A_22CNTVLT4_L7	2.1049474999999997	60.581973982449774
H_19_FKDN240279202-1A_22CNTVLT4_L8	5.2391772	67.8511471330492
H_25_FKDN240279208-1A_22FKLWLT4_L4	2.678861	61.91304317784619
H_7_FKDN240279191-1A_22CNTVLT4_L7	0.863122	57.701826243970466
H_15_FKDN240279198-1A_22CNTVLT4_L8	0.863122	57.701826243970466
